Mvir		ref.	Fg500	errg500	Fg200	errg200	Fgvir	errgvir	Fg12v	errg12v	  Fs200b	errs200b	 Notes	Style	Label Marker Color
2.89e+13	1	0.074	0.028	0.100	0.039	0.131	0.052	0.156	0.062	  0.022		0.003	 	 $	-.	0     o	     b
7.03e+13	1	0.068	0.005	0.091	0.009	0.117	0.014	0.137	0.019	  0.019		0.002	 	 $	:	0     s	     b
1.65e+14	1	0.080	0.003	0.103	0.005	0.129	0.006	0.149	0.008	  0.0144	0.002	 	 $	-	0     p	     b
4.14e+14	1	0.103	0.008	0.124	0.010	0.146	0.012	0.162	0.013	  0.0126	0.002	 	 $	--	0     D	     c
9.79e+14	1	0.123	0.007	0.137	0.008	0.153	0.009	0.165	0.010	  0.010		0.001	 	 $	-	0     H	     c
8.70e+14	2	0.125	0.005	0.137	0.003	0.145	0.01	0.151	0.015	  0.0107	0.001	 	 H1	--	1     o	     r
#8.70e+14	2	0.125	0.005	0.137	0.003	0.135	0.01	0.130	0.015	  0.010		0.001	 	 H2	-	2     .	     r
#5.9e+14	3	0.128	0.010	0.169	0.010	nan	nan	nan	nan	  nan		nan	 	 NCC	-	3     .	     g
5.9e+14		3	0.115	0.010	0.134	0.011	0.153	0.013	0.167	0.014	  0.012		0.001	 	 CC	--	4     s	     g
7.56e+14	4	0.126	0.025	0.133	0.027	0.143	0.029	0.151	0.031	  0.011		0.001		 $	:	5     ^	     y


#1 - Rasheed et al. 2010 2010arXiv1007.1980R
#2 - Planck Int V - 2013 A&A...550A.131P and Corr
#3 - Eckert et al. 2013 2013A&A...551A..23E
#4 - Umetsu et al. 2009 2009ApJ...694.1643U
#Fs200b = stellar fraction for that mass range, from Bahcall and Kulier 2014 2014MNRAS.439.2505B 
