r/r_200		0.21	0.30	0.42	0.63	0.92	1.2	2.0	3.0	4.1	6.1	9.0	12	19	28	40
f_low		0.13	0.078	0.055	0.041	0.038	0.023	0.018	0.013	0.013	0.012	0.011	0.0105	0.01	0.0095	0.009
err_f_low	0.01	0.005	0.003	0.002	0.002	0.001	0.001	0.001	0.001	0.0005	0.0005	0.0005	0.001	0.001	0.0015
f_med		0.052	0.032	0.025	0.018	0.015	0.014	0.012	0.011	0.010	0.0097	0.010	0.010	0.0093	0.0088	nan
err_f_med	0.003	0.002	0.002	0.001	0.001	0.001	0.001	0.0005	0.0005	0.0005	0.001	0.001	0.0012	0.0015	nan
f_high		0.017	0.0125	0.011	0.011	0.0105	0.010	0.0098	0.0081	0.0083	0.0091	0.0095	0.0083	nan	nan	nan 
err_f_high	0.002	0.001	0.001	0.0005	0.0005	0.001	0.001	0.001	0.001	0.0015	0.0015	0.002	nan	nan	nan
																
